departamento,municipio,fecha_hecho,anio,mes,dia,trimestre,anio_mes,dia_semana,es_fin_de_semana,genero,es_mujer,grupo_etario,grupo_edad_simple,armas_medios,arma_categoria,categoria,subtipo_delito,cantidad,es_zona_metro
SANTANDER,RIONEGRO,2014-09-29,2014,9,29,3,2014-09,0,0,MASCULINO,0,ADULTOS,ADULTO,NO REPORTADO,NO_REPORTADO,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CIMITARRA,2013-05-22,2013,5,22,2,2013-05,2,0,MASCULINO,0,ADULTOS,ADULTO,NO REPORTADO,NO_REPORTADO,HURTO,HURTO PIRATERÍA TERRESTRE,1,0
SANTANDER,BARRANCABERMEJA,2025-03-21,2025,3,21,1,2025-03,4,0,MASCULINO,0,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,LEBRIJA,2023-03-27,2023,3,27,1,2023-03,0,0,MASCULINO,0,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,CIMITARRA,2023-03-16,2023,3,16,1,2023-03,3,0,MASCULINO,0,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,TONA,2023-01-18,2023,1,18,1,2023-01,2,0,MASCULINO,0,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SABANA DE TORRES,2023-06-05,2023,6,5,2,2023-06,0,0,FEMENINO,1,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,RIONEGRO,2023-06-26,2023,6,26,2,2023-06,0,0,FEMENINO,1,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,GAMBITA,2023-03-17,2023,3,17,1,2023-03,4,0,MASCULINO,0,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2023-07-06,2023,7,6,3,2023-07,3,0,FEMENINO,1,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2023-10-17,2023,10,17,4,2023-10,1,0,MASCULINO,0,ADULTOS,ADULTO,ARMA BLANCA / CORTOPUNZANTE,ARMA_BLANCA,HURTO,HURTO ABIGEATO,1,0
